h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
1.000e-01,242,1.601e+00,-0.679,7.532e+00,-2.913,1.040e+01,-3.379,1.768
5.000e-02,944,2.628e-03,9.251,2.023e-01,5.218,1.553e-01,6.066,6.427
2.500e-02,3720,3.365e-04,2.965,5.136e-02,1.978,3.656e-02,2.087,30.010
1.250e-02,14782,4.153e-05,3.018,1.288e-02,1.995,8.936e-03,2.032,172.476
6.250e-03,59326,5.398e-06,2.944,3.309e-03,1.961,2.288e-03,1.965,1284.624
