h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.000e-01,162,2.244e+00,-1.166,4.278e+00,-2.097,7.259e+00,-2.860,17.551
1.000e-01,606,1.895e-02,6.888,2.773e-01,3.947,2.093e-01,5.116,13.133
5.000e-02,2350,4.867e-03,1.961,9.986e-02,1.474,5.795e-02,1.853,17.815
2.500e-02,9000,1.223e-03,1.993,3.484e-02,1.519,1.534e-02,1.918,51.621
1.250e-02,35328,3.050e-04,2.003,1.275e-02,1.450,3.767e-03,2.026,488.002
