h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.000e-01,162,3.147e+00,-1.654,1.491e+01,-3.898,2.857e+01,-4.836,0.251
1.000e-01,606,7.648e-02,5.363,1.129e+00,3.723,8.553e-01,5.062,0.949
5.000e-02,2350,1.955e-02,1.968,4.044e-01,1.481,2.331e-01,1.875,4.145
2.500e-02,9000,4.898e-03,1.997,1.400e-01,1.530,6.177e-02,1.916,27.429
1.250e-02,35328,1.221e-03,2.004,5.115e-02,1.453,1.510e-02,2.032,201.441
