h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.000e-01,162,1.650e+04,-14.010,6.346e+05,-19.276,5.740e+07,-25.775,24.244
1.000e-01,606,2.465e+04,-0.580,1.594e+06,-1.328,6.743e+07,-0.232,13.720
5.000e-02,2350,1.810e+04,0.446,1.221e+06,0.385,3.901e+07,0.789,19.291
2.500e-02,9000,1.126e+07,-9.281,1.334e+09,-10.094,7.051e+08,-4.176,130.014
1.250e-02,35328,2.456e+08,-4.447,4.847e+10,-5.183,4.239e+10,-5.910,1146.544
