h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.000e-01,162,2.175e+00,-1.121,2.358e+00,-1.238,2.348e+00,-1.231,0.199
1.000e-01,606,4.676e-03,8.862,6.763e-02,5.124,4.984e-02,5.558,0.739
5.000e-02,2350,1.211e-03,1.949,2.441e-02,1.470,1.420e-02,1.812,4.141
2.500e-02,9000,3.051e-04,1.989,8.626e-03,1.501,3.782e-03,1.908,27.453
1.250e-02,35328,7.619e-05,2.002,3.171e-03,1.444,9.362e-04,2.014,136.132
