h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.000e-01,162,2.175e+00,-1.121,2.358e+00,-1.238,2.347e+00,-1.231,2.030
1.000e-01,606,4.676e-03,8.862,6.763e-02,5.124,4.969e-02,5.562,1.133
5.000e-02,2350,1.211e-03,1.949,2.441e-02,1.470,1.419e-02,1.808,4.337
2.500e-02,9000,3.052e-04,1.989,8.618e-03,1.502,3.781e-03,1.908,19.702
1.250e-02,35328,7.620e-05,2.002,3.169e-03,1.443,9.347e-04,2.016,103.961
