h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.000e-01,162,2.452e+00,-1.294,7.685e+00,-2.942,1.436e+01,-3.844,0.772
1.000e-01,606,3.749e-02,6.031,5.425e-01,3.824,4.002e-01,5.165,1.848
5.000e-02,2350,9.703e-03,1.950,1.957e-01,1.471,1.148e-01,1.802,6.583
2.500e-02,9000,2.443e-03,1.990,6.907e-02,1.503,3.050e-02,1.912,26.879
1.250e-02,35328,6.097e-04,2.002,2.541e-02,1.443,7.537e-03,2.017,125.449
