Formulation,h=5.000e-02 1,h=5.000e-02 2,h=5.000e-02 3,h=5.000e-02 avg,h=2.500e-02 1,h=2.500e-02 2,h=2.500e-02 3,h=2.500e-02 avg,h=1.250e-02 1,h=1.250e-02 2,h=1.250e-02 3,h=1.250e-02 avg
SRTD,2.64,2.60,2.59,2.61,12.85,12.87,12.86,12.86,73.49,74.36,73.86,73.90
EVSS,2.79,2.77,2.78,2.78,18.01,17.87,17.88,17.92,123.80,125.53,124.76,124.70
