Formulation,h=2.500e-02 1,h=2.500e-02 2,h=2.500e-02 3,h=2.500e-02 avg,h=1.250e-02 1,h=1.250e-02 2,h=1.250e-02 3,h=1.250e-02 avg,h=6.250e-03 1,h=6.250e-03 2,h=6.250e-03 3,h=6.250e-03 avg
SRTD,3.92,3.89,3.89,3.90,22.34,22.29,22.29,22.31,135.64,135.38,135.56,135.52
EVSS,4.81,4.69,4.70,4.73,32.48,32.54,32.48,32.50,233.77,225.38,225.16,228.10
