Formulation,h=5.000e-02 1,h=5.000e-02 2,h=5.000e-02 3,h=5.000e-02 avg,h=2.500e-02 1,h=2.500e-02 2,h=2.500e-02 3,h=2.500e-02 avg,h=1.250e-02 1,h=1.250e-02 2,h=1.250e-02 3,h=1.250e-02 avg
SRTD,6.73,7.00,6.77,6.83,30.85,30.61,30.88,30.78,166.01,165.65,164.73,165.46
EVSS,11.78,3.90,3.89,6.53,25.57,25.66,25.68,25.64,177.46,177.74,178.62,177.94
