Formulation,h=2.500e-02 1,h=2.500e-02 2,h=2.500e-02 3,h=2.500e-02 avg,h=1.250e-02 1,h=1.250e-02 2,h=1.250e-02 3,h=1.250e-02 avg,h=6.250e-03 1,h=6.250e-03 2,h=6.250e-03 3,h=6.250e-03 avg
SRTD,4.04,3.89,3.89,3.94,22.40,22.20,22.22,22.27,135.95,135.69,135.62,135.75
EVSS,4.70,4.64,4.63,4.66,32.44,32.34,32.45,32.41,232.17,224.83,224.78,227.26
