Formulation,h=5.000e-02 1,h=5.000e-02 2,h=5.000e-02 3,h=5.000e-02 avg,h=2.500e-02 1,h=2.500e-02 2,h=2.500e-02 3,h=2.500e-02 avg,h=1.250e-02 1,h=1.250e-02 2,h=1.250e-02 3,h=1.250e-02 avg
SRTD,3.10,3.13,3.10,3.11,15.55,15.41,15.38,15.45,88.79,88.58,88.69,88.69
EVSS,2.85,2.83,2.84,2.84,18.04,18.03,18.22,18.09,125.24,125.27,125.98,125.50
