Formulation,h=5.000e-02 1,h=5.000e-02 2,h=5.000e-02 3,h=5.000e-02 avg,h=2.500e-02 1,h=2.500e-02 2,h=2.500e-02 3,h=2.500e-02 avg,h=1.250e-02 1,h=1.250e-02 2,h=1.250e-02 3,h=1.250e-02 avg
SRTD,7.30,7.08,6.96,7.11,32.02,31.90,32.36,32.09,150.56,151.27,150.77,150.87
EVSS,9.99,3.79,3.79,5.86,25.17,25.47,25.36,25.33,125.12,124.74,125.11,124.99
