h,elements,SRTD NSE DoF,SRTD NSE Total DoF,SRTD Press DoF,SRTD Stress DoF,EVSS DoF,EVSS Total DoF
2.5000e-01,384,1154,2312,125,4374,6153,7311
1.2500e-01,3072,10854,15468,729,29478,43977,48591
6.2500e-02,24576,94286,112724,4913,215622,334473,352911
