h,elements,SRTD NSE DoF,SRTD NSE Total DoF,SRTD Press DoF,SRTD Stress DoF,EVSS DoF,EVSS Total DoF
2.0000e-01,162,657,849,105,1116,1983,2175
1.0000e-01,606,2583,2967,351,3924,7209,7593
5.0000e-02,2350,10287,11055,1271,14676,27505,28273
2.5000e-02,9000,39930,41450,4690,55140,104450,105970
1.2500e-02,35328,157842,160866,18042,214236,408162,411186
6.2500e-03,140686,630819,636867,71099,848652,1621669,1627717
