h,elements,u_dof,p_dof,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.500e-01,384,2187,125,1.736e+00,-0.796,2.130e+00,-1.091,1.980e+00,-0.986,5.612
1.250e-01,3072,14739,729,9.287e-03,7.546,2.922e-01,2.866,2.905e-01,2.769,185.633
