h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
1.000e-01,242,2.061e+00,-1.043,1.487e+01,-3.894,2.087e+01,-4.383,0.374
5.000e-02,944,6.048e-03,8.413,4.254e-01,5.128,3.254e-01,6.003,1.930
2.500e-02,3720,8.018e-04,2.915,1.114e-01,1.932,7.350e-02,2.146,12.713
1.250e-02,14782,9.762e-05,3.038,2.754e-02,2.017,1.723e-02,2.093,87.882
6.250e-03,59326,1.272e-05,2.940,6.984e-03,1.979,4.299e-03,2.003,767.612
