h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
1.000e-01,200,1.425e+00,-0.511,2.348e+00,-1.232,2.657e+00,-1.410,7.151
5.000e-02,800,2.555e-03,9.123,1.382e-01,4.087,1.349e-01,4.301,8.144
2.500e-02,3200,4.923e-04,2.376,5.004e-02,1.465,4.808e-02,1.488,15.717
1.250e-02,12800,7.975e-05,2.626,1.608e-02,1.638,1.050e-02,2.196,67.388
6.250e-03,51200,1.151e-05,2.793,4.753e-03,1.758,2.357e-03,2.155,430.484
