l1,tol_at_iter
2.5000e-06,5.7543e-01,5.0184e-10
5.0000e-06,5.7543e-01,1.0022e-09,0.0000e+00
7.5000e-06,5.7543e-01,1.5032e-09,2.4304e-11
1.0000e-05,5.7543e-01,2.0046e-09,4.3207e-11
2.5000e-05,5.7543e-01,5.0218e-09,2.7005e-10
5.0000e-05,5.7543e-01,1.0101e-08,1.0802e-09,0.0000e+00
7.5000e-05,5.7543e-01,1.5277e-08,2.4304e-09,0.0000e+00
1.0000e-04,5.7543e-01,2.0584e-08,4.3207e-09,0.0000e+00
2.5000e-04,5.7543e-01,5.7012e-08,2.7005e-08,2.4587e-13
5.0000e-04,5.7543e-01,1.4545e-07,1.0802e-07,1.9670e-12
7.5000e-04,5.7543e-01,2.7856e-07,2.4304e-07,6.6451e-12
1.0000e-03,5.7543e-01,4.6039e-07,4.3207e-07,1.5780e-11
2.5000e-03,5.7543e-01,2.6108e-06,2.7005e-06,2.5370e-10
5.0000e-03,5.7543e-01,1.0258e-05,1.0802e-05,2.2343e-09,5.9066e-10
7.5000e-03,5.7543e-01,2.2987e-05,2.4305e-05,8.5795e-09,2.9889e-09,2.1412e-11
1.0000e-02,5.7543e-01,4.0798e-05,4.3211e-05,2.3374e-08,9.4437e-09,8.7249e-11
2.5000e-02,5.7543e-01,2.5454e-04,2.7019e-04,7.2115e-07,3.6858e-07,9.0409e-09,2.7964e-09,8.7753e-10
5.0000e-02,5.7543e-01,1.0199e-03,1.0827e-03,1.0809e-05,5.8942e-06,4.5463e-07,3.1671e-07,2.2647e-07,1.6573e-07,1.2297e-07,9.2211e-08,6.9730e-08,5.3091e-08,4.0650e-08,3.1270e-08,2.4149e-08,1.8712e-08,1.4540e-08,1.1326e-08,8.8412e-09,6.9144e-09,5.4163e-09,4.2490e-09,3.3375e-09,2.6246e-09
7.5000e-02,5.7543e-01,2.3029e-03,2.4430e-03,5.2474e-05,2.9871e-05,5.7282e-06,6.6800e-06,8.0207e-06,9.8099e-06,1.2142e-05,1.5163e-05,1.9069e-05,2.4119e-05,3.0653e-05,3.9110e-05,5.0077e-05,6.4296e-05,8.2783e-05,1.0679e-04,1.3808e-04,1.7874e-04,2.3191e-04,3.0097e-04,3.9166e-04,5.0924e-04
1.0000e-01,5.7543e-01,4.1139e-03,4.3602e-03,1.5858e-04,9.5039e-05,3.8961e-05,6.6825e-05,1.1839e-04,2.1362e-04,3.9019e-04,7.1767e-04,1.3322e-03,2.4725e-03,4.6705e-03,8.7244e-03,1.7422e-02,3.6809e-02,2.8752e-01,6.9043e+00
2.5000e-01,5.7543e-01,2.6869e-02,2.8124e-02,4.8289e-03,7.1606e-03,3.9309e-02,2.8304e-01,1.9918e+01
5.0000e-01,5.7543e-01,1.1650e-01,1.1079e-01,1.1108e-01,6.2750e+00
7.5000e-01,5.7543e-01,2.7866e-01,1.8937e-01,3.7225e+00
1.0000e+00,5.7543e-01,5.1540e-01,4.7042e-01
