h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
1.000e-01,242,2.061e+00,-1.043,1.487e+01,-3.895,2.085e+01,-4.382,1.919
5.000e-02,944,7.578e-03,8.087,7.019e-01,4.405,4.464e-01,5.546,6.338
2.500e-02,3720,8.754e-03,-0.208,1.409e+00,-1.005,2.059e-01,1.116,29.005
1.250e-02,14782,6.386e-03,0.455,1.215e+00,0.213,2.011e-01,0.034,155.248
6.250e-03,59326,6.742e-04,3.244,2.928e-01,2.053,2.833e-02,2.827,1010.633
