h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.000e-01,162,3.094e+00,-1.630,1.496e+01,-3.903,2.315e+01,-4.533,1.400
1.000e-01,606,7.225e-02,5.420,1.589e+00,3.235,8.859e-01,4.708,3.972
5.000e-02,2350,1.796e-02,2.008,6.645e-01,1.258,2.947e-01,1.588,15.654
2.500e-02,9000,4.435e-03,2.018,2.908e-01,1.192,1.113e-01,1.404,72.720
1.250e-02,35328,1.110e-03,1.998,1.709e-01,0.767,3.485e-02,1.676,388.515
