h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.000e-01,162,2.244e+00,-1.166,4.278e+00,-2.097,7.244e+00,-2.857,0.708
1.000e-01,606,1.866e-02,6.910,2.736e-01,3.966,1.942e-01,5.221,1.773
5.000e-02,2350,4.844e-03,1.945,9.868e-02,1.472,5.565e-02,1.803,6.386
2.500e-02,9000,1.222e-03,1.988,3.481e-02,1.503,1.486e-02,1.905,25.858
1.250e-02,35328,3.050e-04,2.002,1.279e-02,1.444,3.688e-03,2.010,137.780
