h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.000e-01,162,2.240e+00,-1.164,4.284e+00,-2.099,6.127e+00,-2.615,8.379
1.000e-01,606,1.589e-02,7.140,3.744e-01,3.517,1.906e-01,5.006,8.311
5.000e-02,2350,4.077e-03,1.962,1.562e-01,1.261,7.006e-02,1.444,11.865
2.500e-02,9000,1.074e-03,1.924,6.023e-02,1.375,2.538e-02,1.465,38.226
1.250e-02,35328,2.829e-04,1.925,2.248e-02,1.422,8.205e-03,1.629,222.594
