h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
2.000e-01,162,2.189e+00,-1.130,2.848e+00,-1.510,3.892e+00,-1.961,1.695
1.000e-01,606,9.356e-03,7.870,1.355e-01,4.393,9.960e-02,5.288,1.315
5.000e-02,2350,2.425e-03,1.948,4.889e-02,1.471,2.831e-02,1.815,4.383
2.500e-02,9000,6.106e-04,1.990,1.726e-02,1.502,7.530e-03,1.911,20.058
1.250e-02,35328,1.524e-04,2.002,6.348e-03,1.443,1.864e-03,2.015,105.215
