l1,tol_at_iter
2.5000e-06,5.7543e-01,2.5525e-10
5.0000e-06,5.7543e-01,5.1421e-10
7.5000e-06,5.7543e-01,7.8555e-10,2.4309e-11
1.0000e-05,5.7543e-01,1.0731e-09,4.3216e-11
2.5000e-05,5.7543e-01,3.3219e-09,2.7010e-10
5.0000e-05,5.7543e-01,9.8305e-09,1.0804e-09
7.5000e-05,5.7543e-01,2.0276e-08,2.4309e-09
1.0000e-04,5.7543e-01,3.4779e-08,4.3217e-09
2.5000e-04,5.7543e-01,2.0770e-07,2.7011e-08,3.3010e-13
5.0000e-04,5.7543e-01,8.2365e-07,1.0805e-07,4.1873e-12
7.5000e-04,5.7543e-01,1.8493e-06,2.4314e-07,2.0008e-11
1.0000e-03,5.7543e-01,3.2847e-06,4.3233e-07,6.1867e-11
2.5000e-03,5.7543e-01,2.0497e-05,2.7072e-06,2.3590e-09,1.8378e-10
5.0000e-03,5.7543e-01,8.1887e-05,1.0901e-05,3.7687e-08,3.0175e-09,1.9256e-11,1.1247e-12
7.5000e-03,5.7543e-01,1.8398e-04,2.4799e-05,1.9136e-07,1.5928e-08,2.2096e-10,1.3916e-11,3.4529e-13
1.0000e-02,5.7543e-01,3.2646e-04,4.4757e-05,6.0771e-07,5.3231e-08,1.2653e-09,8.7229e-11,3.1661e-12,2.6927e-13
2.5000e-02,5.7543e-01,1.9975e-03,3.2729e-04,2.5032e-05,3.4428e-06,3.8495e-07,5.1662e-08,6.6945e-09,9.5305e-10,1.5516e-10,3.6044e-11,1.1238e-11,3.8789e-12,1.3722e-12,4.8948e-13,1.7542e-13
5.0000e-02,5.7543e-01,7.4367e-03,1.8447e-03,4.4284e-04,1.2849e-04,3.8657e-05,1.2294e-05,4.0495e-06,1.3755e-06,4.7902e-07,1.7119e-07,6.3647e-08,2.5798e-08,1.2362e-08,7.2015e-09,4.7420e-09,3.2822e-09,2.3122e-09,1.6402e-09,1.1677e-09,8.3317e-10,5.9557e-10,4.2637e-10,3.0564e-10,2.1933e-10
7.5000e-02,5.7543e-01,1.5008e-02,5.3216e-03,2.2395e-03,1.0770e-03,5.5486e-04,3.0328e-04,1.7363e-04,1.0313e-04,6.3029e-05,3.9396e-05,2.5064e-05,1.6182e-05,1.0589e-05,7.0329e-06,4.7717e-06,3.3555e-06,2.5052e-06,2.0355e-06,1.8099e-06,1.7266e-06,1.7189e-06,1.7498e-06,1.8007e-06,1.8631e-06
1.0000e-01,5.7543e-01,2.3323e-02,1.0595e-02,6.1283e-03,3.9869e-03,2.7978e-03,2.0964e-03,1.6614e-03,1.3805e-03,1.1936e-03,1.0668e-03,9.8037e-04,9.2241e-04,8.8538e-04,8.6447e-04,8.5662e-04,8.5995e-04,8.7349e-04,8.9714e-04,9.3174e-04,9.7934e-04,1.0438e-03,1.1318e-03,1.2544e-03,1.4305e-03
2.5000e-01,5.7543e-01,5.6987e-02,3.8144e-02,3.4559e-02,3.1444e-02,2.9461e-02,2.6707e-02,2.4148e-02,2.1644e-02,1.9417e-02,1.7502e-02,1.5888e-02,1.4604e-02,1.3949e-02,1.5822e-02,3.3270e-02,3.7516e-01
5.0000e-01,5.7543e-01,6.7570e-02,4.1603e-02,5.3577e-02,3.6454e-02,4.0291e-02,3.4403e-02,2.8346e-02,2.6487e-02,2.1176e-02,1.7789e-02,1.5362e-02,1.3099e-02,1.1535e-02,1.0500e-02,1.0402e-02,1.2452e-02,1.8389e-02,3.8943e-02,5.7269e-01
7.5000e-01,5.7543e-01,6.8597e-02,4.9034e-02,1.1224e-01,7.0015e-02,4.4010e-02,7.1412e-02,1.2584e-01,2.6760e+01
1.0000e+00,5.7543e-01,7.1532e-02,9.3004e-02,1.9845e-01,1.3408e-01,2.1530e-01,1.9000e+01
