l1,tol_at_iter
2.5e-06,0.19299938596454766,3.996418374496533e-09,0.0
5e-06,0.19299938596454766,8.024637241411682e-09,0.0
7.500000000000001e-06,0.19299938596454766,1.2084858147242458e-08,0.0
1e-05,0.19299938596454766,1.617727946390048e-08,0.0
2.5e-05,0.19299938596454766,4.1418734916440564e-08,1.0155057600314892e-10,0.0
5e-05,0.19299938596454766,8.618551048270337e-08,4.061986565667358e-10,0.0
7.500000000000001e-05,0.19299938596454766,1.344632120532923e-07,9.139369618225429e-10,0.0
0.0001,0.19299938596454766,1.8639055703825913e-07,1.6247558312234267e-09,0.0
0.00025,0.19299938596454766,5.801419971849508e-07,1.0153526993517959e-08,0.0
0.0005,0.19299938596454766,1.5739823409343118e-06,4.059988133214132e-08,2.1002669163483732e-11,0.0
0.00075,0.19299938596454766,3.0101738046571843e-06,9.130016208510358e-08,7.096324000703352e-11,0.0
0.001,0.19299938596454766,4.897082438122212e-06,1.6219208043806493e-07,1.6853488611483115e-10,0.0
0.0025,0.19299938596454766,2.577496952717855e-05,1.0051493249617628e-06,2.706849222165906e-09,2.054291700082371e-11,0.0
0.005,0.19299938596454766,9.696174201621083e-05,3.9025532187351255e-06,2.367885527040295e-08,3.241384115374029e-10,2.2217068778138855e-12,0.0
0.0075,0.19299938596454766,0.0002132102653495191,8.351834234632033e-06,8.892701239932875e-08,1.6249613652051877e-09,2.1955029507976274e-11,0.0
0.01,0.19299938596454766,0.00037371367527689936,1.382335012828818e-05,2.3158808436959635e-07,5.2240771058421086e-09,1.1494253299617774e-10,1.9750849896496826e-12,0.0
0.025,0.19299938596454766,0.0021872325332964425,4.7640379484388416e-05,3.827392406523899e-06,3.999453675000744e-07,4.4878017728900156e-08,4.508149679757092e-09,4.976928268009328e-10,6.131848930303144e-11,8.815705968806849e-12,1.7905127034998312e-12,5.07516012038565e-13,1.6104340576021655e-13,0.0
0.05,0.19299938596454766,0.007523238180761757,0.0007841686243503719,0.00015909068955509282,4.4734697888005925e-05,1.4234037537533511e-05,4.747288854649912e-06,1.6451847698812182e-06,5.87162302409157e-07,2.140700040695185e-07,7.92328787247867e-08,2.964457406378371e-08,1.1185983652044386e-08,4.258555505328746e-09,1.6450897347124362e-09,6.557318585719275e-10,2.7948977092812874e-10,1.334612259976036e-10,7.258839764282656e-11,4.347018194338486e-11,2.7415252910135234e-11,1.771966073543377e-11,1.1596277532901925e-11,7.646085373733863e-12,5.0689367229634516e-12
0.07500000000000001,0.19299938596454766,0.013983895437229991,0.0029261952134568667,0.0010684879238439377,0.0005185826619264178,0.00028868179698143126,0.0001738169683365473,0.00011068972434850114,7.346854013160442e-05,5.027978078946708e-05,3.518990851264346e-05,2.5025052982867678e-05,1.798972271337353e-05,1.3018876288659509e-05,9.453820523109056e-06,6.8712615871298115e-06,4.989476059181163e-06,3.6149288813034957e-06,2.6110857119964278e-06,1.8795795943732932e-06,1.3485176001603128e-06,9.649004390218523e-07,6.895478294579668e-07,4.93534155980707e-07,3.5562077632959266e-07
0.1,0.19299938596454766,0.020226190252150063,0.006025794463206097,0.0029035526365252997,0.0018381649792151475,0.001339326158774363,0.0010631848502005528,0.0008983952946494721,0.0007966063419147705,0.0007338232001687033,0.0006971248540305243,0.0006791263131187194,0.0006754386894133548,0.0006833988006283646,0.0007013499294921384,0.0007281622432440914,0.0007628752927583566,0.0008044471024536335,0.0008516334998197193,0.0009030044291996354,0.0009570624334848233,0.0010124058920391076,0.0010678945942582255,0.0011228083429268485,0.001177018073666421
0.25,0.19299938596454766,0.0400280506646888,0.022728614106462732,0.013026534561346233,0.009179874114334378,0.007373808752192768,0.006689188503472619,0.0075089357955151715,0.011206672581086262,0.020219276401636753,0.06350131312927997
0.5,0.19299938596454766,0.04223232250958038,0.041344844133254836,0.0215112334540764,0.013643928723279736,0.014638347229056497,0.028809962291551125,0.3172527460717411,22.8766868160423
0.75,0.19299938596454766,0.042558873418638676,0.059016912205242064,0.029251974876741436,0.019269956183419656,0.025051705231085745,0.0857875837582951
1.0,0.19299938596454766,0.045924653543402326,0.07607432819601292,0.03599608720981422,0.025900683410847034,0.2791952778139706
