h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
1.000e-01,200,1.427e+00,-0.513,2.328e+00,-1.219,2.701e+00,-1.433,0.749
5.000e-02,800,8.356e-04,10.738,6.200e-02,5.231,3.786e-02,6.156,2.039
2.500e-02,3200,1.081e-04,2.950,1.638e-02,1.920,9.115e-03,2.055,13.906
1.250e-02,12800,1.359e-05,2.992,4.163e-03,1.976,2.195e-03,2.054,39.191
6.250e-03,51200,1.702e-06,2.997,1.046e-03,1.993,5.386e-04,2.027,246.651
