h,elements,$L^{2}$ error $\vu$,$L^{2}$ rate $\vu$,$H^{1}$ error $\vu$,$H^{1}$ rate $\vu$,$L^{2}$ error $p$,$L^{2}$ rate $p$,time(s)
1.000e-01,242,1.465e+00,-0.551,3.958e+00,-1.985,5.208e+00,-2.381,0.274
5.000e-02,944,1.109e-03,10.368,8.737e-02,5.502,5.931e-02,6.456,1.291
2.500e-02,3720,1.458e-04,2.927,2.227e-02,1.972,1.481e-02,2.002,8.272
1.250e-02,14782,1.818e-05,3.004,5.614e-03,1.988,3.485e-03,2.087,57.840
6.250e-03,59326,2.316e-06,2.972,1.433e-03,1.970,8.603e-04,2.018,441.221
